case_id,asset,arm,status,frozen_evaluator_status,adjudicated_evaluator_status,adjudication_hash_bound,distance_correction_pending,independent_task_status,protocol_audit_valid,accepted,claimed_accepted,demonstrated_false_pass,elapsed_seconds,allocated_gpu_seconds,timed_out,repairs_declared,human_interventions,human_review_seconds,observed_model_effort_match,model_contexts_observed,input_tokens,cached_input_tokens,output_tokens,token_usage_complete,cost_usd,measurement_review_applied,structural_delivery_audit_applied,pre_structural_delivery_status,structural_delivery_audit,paired_author_audits_pass,global_protocol_verified,matched_pair_protocol_eligible
01_drawer,Drawer cabinet,plain_astra,PASS,PASS,,,False,PASS,True,True,True,False,983.914294026792,983.914294026792,False,0,0,,True,2,4724594,4546816,37932,True,,False,False,PASS,,True,False,False
01_drawer,Drawer cabinet,content_agents,FAIL,FAIL,,,False,FAIL,True,False,False,False,780.7417064234614,780.7417064234614,False,1,0,,True,4,9628794,9277824,34283,True,,False,False,FAIL,,True,False,False
02_conveyor,Circular conveyor,plain_astra,INVALID_PROTOCOL,PASS,PASS,True,False,PASS,False,False,True,False,1523.5759777389467,1523.5759777389467,False,0,0,,True,4,14699475,14349696,76410,True,,False,False,PASS,,False,False,False
02_conveyor,Circular conveyor,content_agents,FAIL,FAIL,FAIL,True,False,FAIL,True,False,False,False,845.4421120733023,845.4421120733023,False,2,0,,True,4,10158813,9698048,48257,True,,False,False,FAIL,,False,False,False
03_hinge,Commercial refrigerator,plain_astra,PASS,PASS,PASS,True,False,PASS,True,True,True,False,970.3272501453757,970.3272501453757,False,1,0,,True,3,7198984,6973184,61696,True,,False,False,PASS,,True,False,False
03_hinge,Commercial refrigerator,content_agents,FAIL,FAIL,FAIL,True,False,FAIL,True,False,False,False,691.8100549690425,691.8100549690425,False,1,0,,True,2,5271280,5064576,22639,True,,False,False,FAIL,,True,False,False
04_gripper,Linkage servo gripper,plain_astra,PASS,FAIL,PASS,True,False,PASS,True,True,True,False,1487.7091016322374,1487.7091016322374,False,0,0,,True,3,9869518,9598208,64162,True,,False,False,PASS,,True,False,False
04_gripper,Linkage servo gripper,content_agents,FAIL,FAIL,FAIL,True,False,FAIL,True,False,False,False,716.5058221705258,716.5058221705258,False,1,0,,True,3,10159345,9860992,41556,True,,False,False,FAIL,,True,False,False
05_vise,Machine vise,plain_astra,PASS,FAIL,PASS,True,False,PASS,True,True,True,False,1737.8238974511623,1737.8238974511623,False,1,0,,True,3,17235738,16926592,98100,True,,False,False,PASS,,True,False,False
05_vise,Machine vise,content_agents,FAIL,FAIL,FAIL,True,False,FAIL,True,False,False,False,1128.7518915757537,1128.7518915757537,False,2,0,,True,3,10829201,10478720,46283,True,,False,False,FAIL,,True,False,False
